Bar:1 h:195 w:18
Bar:2 h:223 w:26
Bar:3 h:323 w:46
Bar:4 h:173 w:49
Bar:5 h:143 w:31
Bar:6 h:342 w:44
Bar:7 h:132 w:23
Bar:8 h:202 w:23
Bar:9 h:26 w:23
Bar:10 h:145 w:11
Bar:11 h:261 w:38
Bar:12 h:373 w:42
Bar:13 h:243 w:38
Bar:14 h:113 w:37
Bar:15 h:347 w:41
Bar:16 h:17 w:21
Bar:17 h:162 w:16
Bar:18 h:24 w:15
Bar:19 h:289 w:19
Bar:20 h:277 w:25
Bar:21 h:1 w:45
Bar:22 h:125 w:40
Bar:23 h:10 w:24
Bar:24 h:42 w:43
Bar:25 h:295 w:23
Bar:26 h:290 w:27
Bar:27 h:222 w:30
Bar:28 h:26 w:20
Bar:29 h:342 w:44
Bar:30 h:115 w:34
