Bar:21 h:1 w:916
Bar:16 h:16 w:586
Bar:9 h:9 w:490
Bar:7 h:106 w:260
Bar:5 h:11 w:214
Bar:4 h:30 w:139
Bar:1 h:22 w:90
Bar:2 h:28 w:72
Bar:3 h:100 w:46
Bar:6 h:199 w:44
Bar:8 h:70 w:23
Bar:14 h:87 w:207
Bar:10 h:32 w:129
Bar:13 h:98 w:118
Bar:11 h:18 w:80
Bar:12 h:112 w:42
Bar:15 h:234 w:41
Bar:18 h:7 w:75
Bar:17 h:138 w:16
Bar:20 h:253 w:44
Bar:19 h:12 w:19
Bar:23 h:9 w:285
Bar:22 h:115 w:40
Bar:28 h:16 w:221
Bar:24 h:16 w:123
Bar:27 h:180 w:80
Bar:26 h:68 w:50
Bar:25 h:5 w:23
Bar:30 h:89 w:78
Bar:29 h:227 w:44
