Bar:1 h:185 w:49
Bar:2 h:175 w:30
Bar:3 h:92 w:11
Bar:4 h:273 w:43
Bar:5 h:110 w:23
Bar:6 h:218 w:25
Bar:7 h:152 w:23
Bar:8 h:189 w:48
Bar:9 h:368 w:18
Bar:10 h:369 w:28
Bar:11 h:163 w:33
Bar:12 h:209 w:14
Bar:13 h:261 w:23
Bar:14 h:42 w:50
Bar:15 h:17 w:11
Bar:16 h:284 w:25
Bar:17 h:363 w:50
Bar:18 h:320 w:46
Bar:19 h:327 w:38
Bar:20 h:30 w:24
Bar:21 h:359 w:19
Bar:22 h:132 w:18
Bar:23 h:49 w:12
Bar:24 h:136 w:18
Bar:25 h:4 w:22
Bar:26 h:357 w:14
Bar:27 h:7 w:45
Bar:28 h:352 w:21
Bar:29 h:230 w:24
Bar:30 h:61 w:38
