Bar:25 h:4 w:843
Bar:15 h:13 w:679
Bar:14 h:25 w:418
Bar:3 h:50 w:368
Bar:2 h:83 w:79
Bar:1 h:10 w:49
Bar:5 h:18 w:278
Bar:4 h:163 w:43
Bar:7 h:42 w:212
Bar:6 h:66 w:25
Bar:11 h:11 w:164
Bar:8 h:26 w:94
Bar:9 h:179 w:46
Bar:10 h:1 w:28
Bar:12 h:46 w:37
Bar:13 h:52 w:23
Bar:20 h:13 w:250
Bar:16 h:254 w:159
Bar:18 h:36 w:134
Bar:17 h:43 w:50
Bar:19 h:7 w:38
Bar:23 h:19 w:67
Bar:22 h:83 w:37
Bar:21 h:227 w:19
Bar:24 h:87 w:18
Bar:27 h:3 w:142
Bar:26 h:350 w:14
Bar:30 h:54 w:83
Bar:29 h:169 w:45
Bar:28 h:122 w:21
